Station,Example Station
Latitude,-35.31
Longitude,148.06
1913-03-01,147
1913-04-01,4.9
1913-05-01,96.7
1913-06-01,38
1913-07-01,30.6
1913-08-01,54.9
1913-09-01,61.9
1913-10-01,65
1913-11-01,19.1
1913-12-01,26.8
1914-01-01,32.8
1914-02-01,0.5
1914-03-01,119
1914-04-01,29.5
1914-05-01,42.2
1914-06-01,55.4
1914-07-01,37.3
1914-08-01,4.3
1914-09-01,17.9
1914-10-01,5.6
1914-11-01,17.7
1914-12-01,67.9
1915-01-01,19.8
1915-02-01,16.3
1915-03-01,14.7
1915-04-01,34.5
1915-05-01,143.1
1915-06-01,139.3
1915-07-01,67.3
1915-08-01,110.7
1915-09-01,110.4
1915-10-01,92.1
1915-11-01,4.9
1915-12-01,71.4
1916-01-01,29
1916-02-01,39.5
1916-03-01,16.9
1916-04-01,68.8
1916-05-01,39
1916-06-01,225.2
1916-07-01,140.1
1916-08-01,171.6
1916-09-01,96.3
1916-10-01,116.7
1916-11-01,154.5
1916-12-01,44.2
1917-01-01,91.7
1917-02-01,49.9
1917-03-01,35.3
1917-04-01,27.2
1917-05-01,116.3
1917-06-01,121.9
1917-07-01,146.8
1917-08-01,146.7
1917-09-01,93.7
1917-10-01,179
1917-11-01,103.7
1917-12-01,45.3
1918-01-01,62.5
1918-02-01,66.1
1918-03-01,72.7
1918-04-01,95
1918-05-01,74.6
1918-06-01,62.7
1918-07-01,47.9
1918-08-01,147.1
1918-09-01,20.8
1918-10-01,23.9
1918-11-01,4.3
1918-12-01,22.6
1919-01-01,2.8
1919-02-01,37.1
1919-03-01,70.9
1919-04-01,43
1919-05-01,74.5
1919-06-01,51.3
1919-07-01,23.8
1919-08-01,45.3
1919-09-01,27.7
1919-10-01,66.3
1919-11-01,9.6
1919-12-01,115.4
1920-01-01,16.5
1920-02-01,17.8
1920-03-01,49
1920-04-01,36.5
1920-05-01,7.4
1920-06-01,137.4
1920-07-01,108.9
1920-08-01,140.6
1920-09-01,108.2
1920-10-01,34.5
1920-11-01,23.4
1920-12-01,110.7
1921-01-01,38.3
1921-02-01,21.7
1921-03-01,69.2
1921-04-01,64.5
1921-05-01,92.9
1921-06-01,89.4
1921-07-01,63.5
1921-08-01,89.2
1921-09-01,134.2
1921-10-01,71.1
1921-11-01,15.2
1921-12-01,60.5
1922-01-01,54.9
1922-02-01,89.2
1922-03-01,17
1922-04-01,74.7
1922-05-01,37.9
1922-06-01,67.8
1922-07-01,136.6
1922-08-01,59.5
1922-09-01,42.9
1922-10-01,42.9
1922-11-01,0.8
1922-12-01,39.9
1923-01-01,18.3
1923-02-01,0
1923-03-01,4.6
1923-04-01,0.3
1923-05-01,93
1923-06-01,265.4
1923-07-01,145.7
1923-08-01,52.5
1923-09-01,88.6
1923-10-01,96
1923-11-01,48.6
1923-12-01,70.5
1924-01-01,31.5
1924-02-01,126.2
1924-03-01,26.9
1924-04-01,62.3
1924-05-01,55.5
1924-06-01,94.3
