Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,060030,1901,83.5,14.8,45.7,60.9,62.2,46.4,96.3,28.3,16.8,79.1,47.0,26.0,607.0
IDCJAC0001,060030,1902,59.1,24.7,57.7,118.4,11.8,7.7,27.1,29.3,43.4,144.3,38.1,58.8,620.4
IDCJAC0001,060030,1903,48.8,129.1,172.2,45.7,71.1,126.1,109.7,166.7,80.6,163.7,121.0,121.7,1356.4
IDCJAC0001,060030,1904,30.9,132.3,138.9,279.5,49.6,3.6,140.0,25.1,9.9,44.5,15.9,55.1,925.3
IDCJAC0001,060030,1905,11.0,81.9,86.6,243.4,41.7,8.4,1.3,15.2,26.1,17.8,51.3,134.1,718.8
IDCJAC0001,060030,1906,66.8,28.2,100.7,80.8,62.5,6.4,0.0,221.4,53.5,54.1,152.2,52.1,878.7
IDCJAC0001,060030,1907,172.8,61.8,198.1,52.1,41.6,90.1,20.3,3.8,0.3,12.1,81.6,105.2,839.8
IDCJAC0001,060030,1908,8.4,439.5,228.7,68.7,10.0,12.0,134.1,116.1,39.4,14.5,85.9,76.1,1233.4
IDCJAC0001,060030,1909,25.6,74.5,37.8,52.0,24.2,103.7,11.9,29.0,127.8,28.3,116.7,160.4,791.9
IDCJAC0001,060030,1910,162.1,8.9,275.1,58.1,80.6,83.3,0.8,11.0,52.9,79.3,33.1,118.9,964.1
IDCJAC0001,060030,1911,368.2,145.4,139.6,74.6,75.2,5.8,169.7,178.7,55.8,64.8,96.0,49.8,1423.6
IDCJAC0001,060030,1912,78.1,236.8,178.0,25.5,40.2,40.9,216.3,21.9,19.8,16.0,49.5,129.5,1052.5
IDCJAC0001,060030,1913,32.2,123.0,35.5,297.0,406.6,156.0,46.5,2.1,128.7,36.4,17.8,28.4,1310.2
IDCJAC0001,060030,1914,51.5,98.2,352.5,17.5,81.5,218.9,43.3,46.0,272.3,330.6,87.4,129.7,1729.4
IDCJAC0001,060030,1915,52.3,95.6,23.4,65.9,274.2,13.3,34.3,36.9,15.5,24.1,2.8,102.4,740.7
IDCJAC0001,060030,1916,52.4,109.7,65.5,304.8,203.0,40.5,24.7,38.5,35.0,68.6,71.1,157.9,1171.7
IDCJAC0001,060030,1917,107.0,99.9,106.7,55.1,41.4,38.1,9.9,10.0,219.6,79.0,234.2,69.1,1070.0
IDCJAC0001,060030,1918,164.6,153.1,60.8,106.3,34.9,14.1,80.1,48.5,98.1,19.9,49.0,39.0,868.4
IDCJAC0001,060030,1919,80.1,100.2,84.4,126.6,349.2,46.7,60.3,7.3,53.0,47.0,38.4,64.2,1057.4
IDCJAC0001,060030,1920,243.1,86.0,79.7,34.8,53.7,32.2,99.4,4.0,32.5,40.8,80.1,114.8,901.1
IDCJAC0001,060030,1921,263.3,39.6,129.9,244.8,221.0,204.1,220.8,14.6,100.9,122.0,41.9,187.5,1790.4
IDCJAC0001,060030,1922,80.2,271.9,7.6,28.4,120.3,48.1,333.6,176.3,271.9,38.5,3.1,46.8,1426.7
IDCJAC0001,060030,1923,79.1,9.4,71.8,274.2,25.4,53.1,93.4,125.8,43.7,37.6,56.7,119.8,990.0
IDCJAC0001,060030,1924,188.7,85.9,28.8,104.3,26.4,71.1,121.0,46.6,59.1,36.4,185.9,180.4,1134.6
IDCJAC0001,060030,1925,85.3,38.3,117.6,88.0,277.9,115.4,16.8,102.7,7.1,47.0,125.0,99.1,1120.2
IDCJAC0001,060030,1926,43.8,39.6,182.1,106.1,127.5,75.1,163.4,39.1,13.4,11.2,1.8,248.4,1051.5
IDCJAC0001,060030,1927,116.8,32.8,98.8,430.0,53.1,64.8,0.5,4.6,24.0,57.3,206.6,141.0,1230.3
IDCJAC0001,060030,1928,162.6,91.3,121.4,152.3,56.0,290.5,79.4,17.2,0.0,34.9,50.0,28.8,1084.4
IDCJAC0001,060030,1929,85.0,789.7,101.3,211.9,33.0,68.5,121.4,67.1,138.7,233.3,95.2,15.3,1960.4
